subj,prop,bucket,subject_num_chunks,step,exposures,gold_logprob,max_decoy_logprob,correct
Donor,father,low,4,0,0,-12.020155906677246,-11.678167343139648,False
Donor,father,low,4,10000,2,-7.016469955444336,-5.195107460021973,False
Donor,father,low,4,20000,2,-10.073067665100098,-4.4562578201293945,False
Donor,father,low,4,30000,2,-8.816993713378906,-4.115805625915527,False
Donor,father,low,4,40000,2,-8.492793083190918,-4.06391716003418,False
Donor,father,low,4,50000,3,-6.730152606964111,-5.103233814239502,False
Donor,father,low,4,60000,3,-7.276420593261719,-4.47945499420166,False
Donor,father,low,4,70000,3,-6.6951727867126465,-4.587123394012451,False
Donor,father,low,4,80000,3,-6.312078952789307,-3.286900281906128,False
Donor,father,low,4,90000,3,-6.241176128387451,-4.432221412658691,False
Donor,father,low,4,100000,4,-6.621883392333984,-3.7306151390075684,False
Donor,father,low,4,109672,4,-6.545281887054443,-4.032193183898926,False
Loud as a Whisper,director,low,6,0,0,-11.712545394897461,-11.842000961303711,True
Loud as a Whisper,director,low,6,10000,2,-7.343327522277832,-7.453817367553711,True
Loud as a Whisper,director,low,6,20000,2,-7.456735610961914,-7.322056770324707,False
Loud as a Whisper,director,low,6,30000,2,-6.272708415985107,-6.774619102478027,True
Loud as a Whisper,director,low,6,40000,3,-7.096199989318848,-6.248483657836914,False
Loud as a Whisper,director,low,6,50000,4,-7.70035982131958,-7.072452068328857,False
Loud as a Whisper,director,low,6,60000,4,-6.733485221862793,-6.229728698730469,False
Loud as a Whisper,director,low,6,70000,4,-7.453789234161377,-6.096989154815674,False
Loud as a Whisper,director,low,6,80000,5,-6.549477577209473,-5.991714000701904,False
Loud as a Whisper,director,low,6,90000,5,-7.000033378601074,-5.8765668869018555,False
Loud as a Whisper,director,low,6,100000,5,-7.043424129486084,-5.472338676452637,False
Loud as a Whisper,director,low,6,109672,6,-6.820343971252441,-6.443127632141113,False
The System,director,low,2,0,0,-11.500743865966797,-11.436351776123047,False
